name,year,rating,votes,reviews,Title Type
Spider-Man,2002,7.4,939526,https://www.imdb.com/title/tt0145487/,Movie
Spider-Man 2,2004,7.5,761327,https://www.imdb.com/title/tt0316654/,Movie
Spider-Man 3,2007,6.3,681108,https://www.imdb.com/title/tt0413300/,Movie
Spider-Man: Far from Home,2019,7.4,613391,https://www.imdb.com/title/tt6320628/,Movie
Spider-Man: Homecoming,2017,7.4,772366,https://www.imdb.com/title/tt2250912/,Movie
Spider-Man: No Way Home,2021,8.2,977793,https://www.imdb.com/title/tt10872600/,Movie
Spirit of Fear,2023,3.6,413,https://www.imdb.com/title/tt22410094/,Movie
Stans,2025,6.9,2206,https://www.imdb.com/title/tt31313835/,Movie
Street Fighter II: The Animated Movie,1994,7.2,10650,https://www.imdb.com/title/tt0114563/,Movie
Suicide Squad,2016,5.9,748471,https://www.imdb.com/title/tt1386697/,Movie
Summer in February,2013,5.6,4414,https://www.imdb.com/title/tt2184287/,Movie
Managing Manhattan,2016,6.3,1622,https://www.imdb.com/title/tt5734214/,TV Movie
"Sun, Sand & Romance",2017,6.1,1617,https://www.imdb.com/title/tt7064954/,TV Movie
Suncoast,2024,6.7,7775,https://www.imdb.com/title/tt13650742/,Movie
Superman,2025,7.2,292821,https://www.imdb.com/title/tt5950044/,Movie
Susie Searches,2022,5.9,1226,https://www.imdb.com/title/tt13733780/,Movie
Sweet Dreams,2024,5.5,1612,https://www.imdb.com/title/tt22399738/,Movie
Tangled,2010,7.7,529783,https://www.imdb.com/title/tt0398286/,Movie
The Amazing Spider-Man,2012,6.9,745022,https://www.imdb.com/title/tt0948470/,Movie
The Amazing Spider-Man 2,2014,6.6,573304,https://www.imdb.com/title/tt1872181/,Movie
The Avengers,2012,8,1527407,https://www.imdb.com/title/tt0848228/,Movie
The Bad Guys,2022,6.9,73664,https://www.imdb.com/title/tt8115900/,Movie
The Bad Guys 2,2025,7.1,14283,https://www.imdb.com/title/tt30017619/,Movie
The Bad Guys: A Very Bad Holiday,2023,5.2,2650,https://www.imdb.com/title/tt28863512/,TV Special
The Big Sick,2017,7.5,148270,https://www.imdb.com/title/tt5462602/,Movie
The Burial,2023,7.1,41119,https://www.imdb.com/title/tt5648882/,Movie
The Call of the Wild,2020,6.7,62195,https://www.imdb.com/title/tt7504726/,Movie
The Children Act,2017,6.7,16256,https://www.imdb.com/title/tt6040662/,Movie
The Crow,2024,4.7,38470,https://www.imdb.com/title/tt1340094/,Movie
The Debt,2010,6.8,73369,https://www.imdb.com/title/tt1226753/,Movie
The Equalizer,2014,7.3,453508,https://www.imdb.com/title/tt0455944/,Movie
The Equalizer 2,2018,6.7,221025,https://www.imdb.com/title/tt3766354/,Movie
The Equalizer 3,2023,6.8,153067,https://www.imdb.com/title/tt17024450/,Movie
The Fall Guy,2024,6.8,235663,https://www.imdb.com/title/tt1684562/,Movie
The Final Destination,2009,5.1,136136,https://www.imdb.com/title/tt1144884/,Movie
The Flash,2023,6.6,240346,https://www.imdb.com/title/tt0439572/,Movie
The Forgiven,2021,6.1,11098,https://www.imdb.com/title/tt3696180/,Movie
The Greatest Hits,2024,6.2,8166,https://www.imdb.com/title/tt2015349/,Movie
The Guardians of the Galaxy Holiday Special,2022,6.9,105047,https://www.imdb.com/title/tt13623136/,TV Special
The Hill,2023,6.7,9001,https://www.imdb.com/title/tt8051894/,Movie
The Holiday,2006,7,352520,https://www.imdb.com/title/tt0457939/,Movie
The House of Mirth,2000,7,8450,https://www.imdb.com/title/tt0200720/,Movie
The Incredible Hulk,2008,6.6,552512,https://www.imdb.com/title/tt0800080/,Movie
The Incredibles,2004,8,872534,https://www.imdb.com/title/tt0317705/,Movie
The Karate Kid,2010,6.3,221482,https://www.imdb.com/title/tt1155076/,Movie
The Karate Kid,1984,7.3,264695,https://www.imdb.com/title/tt0087538/,Movie
The Karate Kid Part II,1986,6.1,106891,https://www.imdb.com/title/tt0091326/,Movie
The Karate Kid Part III,1989,5.4,75297,https://www.imdb.com/title/tt0097647/,Movie
The Kill Room,2023,5.5,9132,https://www.imdb.com/title/tt11908172/,Movie
The Last Deal,2023,4.6,1948,https://www.imdb.com/title/tt3326138/,Movie
The Leopard,1963,7.9,33389,https://www.imdb.com/title/tt0057091/,Movie
The Magic of Ordinary Days,2005,7.5,7550,https://www.imdb.com/title/tt0406046/,TV Movie
The Making of a Lady,2012,6.7,1553,https://www.imdb.com/title/tt2293276/,TV Movie
The Marry Me Pact,2023,5.4,213,https://www.imdb.com/title/tt27917079/,TV Movie
The Marvels,2023,5.5,156091,https://www.imdb.com/title/tt10676048/,Movie
The Morning After,1986,5.9,7816,https://www.imdb.com/title/tt0091554/,Movie
The New Mutants,2020,5.3,98506,https://www.imdb.com/title/tt4682266/,Movie
The Next Karate Kid,1994,4.6,37103,https://www.imdb.com/title/tt0110657/,Movie
The Nun II,2023,5.6,75004,https://www.imdb.com/title/tt10160976/,Movie
The Perfect Escape,2023,4.5,358,https://www.imdb.com/title/tt14188716/,Movie
The Pez Outlaw,2022,6.9,3133,https://www.imdb.com/title/tt17660740/,Movie
The Price We Pay,2022,4.9,4568,https://www.imdb.com/title/tt15441472/,Movie
The Retirement Plan,2023,5.1,10588,https://www.imdb.com/title/tt14827638/,Movie
The Riot Club,2014,6,24811,https://www.imdb.com/title/tt2717860/,Movie
The Shepherd,2023,6.2,4872,https://www.imdb.com/title/tt10075766/,Short
The Slipper and the Rose: The Story of Cinderella,1976,6.9,3451,https://www.imdb.com/title/tt0075232/,Movie
